City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Krasnokamensk,RU,2022-05-20 22:48:59,50.0979,118.0369,58.55,32,13,12.03
68,Nizhnyaya Poyma,RU,2022-05-20 22:48:59,56.1622,97.1933,55.38,70,72,4.03
69,Vao,NC,2022-05-20 22:45:11,-22.6667,167.4833,74.21,87,100,29.04
70,Barrow,US,2022-05-20 22:48:59,71.2906,-156.7887,32.02,93,100,10.36
71,Mglin,RU,2022-05-20 22:49:00,53.0591,32.8475,47.75,96,100,14.94
72,Carnarvon,AU,2022-05-20 22:49:00,-24.8667,113.6333,67.78,62,0,10.45
73,Kapaa,US,2022-05-20 22:49:00,22.0752,-159.319,80.58,78,20,9.22
74,Hobart,AU,2022-05-20 22:44:59,-42.8794,147.3294,43.27,92,75,9.22
75,Narsaq,GL,2022-05-20 22:40:19,60.9167,-46.05,52.02,75,17,4.72
76,Esperance,AU,2022-05-20 22:41:41,-33.8667,121.9,60.6,72,53,6.46
77,Terralba,IT,2022-05-20 22:49:01,39.7192,8.6392,64.58,75,1,7.49
78,Ankpa,NG,2022-05-20 22:49:01,7.3706,7.6253,75.54,74,100,4.56
79,Najran,SA,2022-05-20 22:49:01,17.4924,44.1277,77.65,14,3,1.3
80,Vihti,FI,2022-05-20 22:49:01,60.417,24.3197,46.51,71,17,5.99
81,Sitka,US,2022-05-20 22:49:02,57.0531,-135.33,57.09,62,0,4.61
82,Alofi,NU,2022-05-20 22:49:02,-19.0595,-169.9187,82.29,78,25,5.75
83,Port Elizabeth,ZA,2022-05-20 22:49:02,-33.918,25.5701,56.32,96,100,6.91
84,Hofn,IS,2022-05-20 22:49:03,64.2539,-15.2082,47.43,95,100,10.71
85,Fortuna,US,2022-05-20 22:41:48,40.5982,-124.1573,63.09,66,0,14.97
86,Key West,US,2022-05-20 22:45:49,24.5557,-81.7826,89.6,76,75,8.05
87,Georgetown,MY,2022-05-20 22:44:06,5.4112,100.3354,80.53,89,20,3.44
88,Macia,MZ,2022-05-20 22:49:03,-25.0269,33.0989,68.27,74,20,6.6
89,Mar Del Plata,AR,2022-05-20 22:49:03,-38.0023,-57.5575,56.95,71,0,11.5
90,Xiaoweizhai,CN,2022-05-20 22:49:04,26.1903,107.5125,59.79,94,80,2.57
91,Saint-Leu,RE,2022-05-20 22:49:04,-21.15,55.2833,72.43,73,13,3.87
92,Auki,SB,2022-05-20 22:49:04,-8.7676,160.7034,83.53,70,60,1.68
93,Dhidhdhoo,MV,2022-05-20 22:49:05,6.8833,73.1,83.43,76,55,15.95
94,Lahore,PK,2022-05-20 22:49:05,31.5497,74.3436,87.78,29,20,9.22
95,Villanueva De La Serena,ES,2022-05-20 22:49:05,38.9766,-5.7974,79.75,26,100,8.88
96,Las Rosas,AR,2022-05-20 22:50:05,-32.4766,-61.5804,55.78,51,0,6.06
97,Komsomolskiy,UZ,2022-05-20 22:50:06,40.4272,71.7189,66.92,55,73,3.53
98,Alta Floresta,BR,2022-05-20 22:50:06,-9.8756,-56.0861,66.43,66,75,1.88
99,Severo-Kurilsk,RU,2022-05-20 22:45:13,50.6789,156.125,44.87,81,100,12.12
100,Aklavik,CA,2022-05-20 22:50:06,68.2191,-135.0107,50.0,50,100,3.44
101,Olafsvik,IS,2022-05-20 22:46:24,64.8945,-23.7142,47.01,84,85,10.98
102,Dalby,AU,2022-05-20 22:50:07,-27.1833,151.2667,57.97,97,100,15.21
