City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
137,Hithadhoo,MV,-0.6,73.0833,84.11,71,99,12.53,overcast clouds
138,Norman Wells,CA,65.282,-126.8329,39.24,87,75,4.61,broken clouds
139,Adrar,MR,20.5022,-10.0711,107.55,6,3,8.23,clear sky
140,Bintulu,MY,3.1667,113.0333,79.21,94,20,3.44,few clouds
141,Tasikmalaya,ID,-7.3274,108.2207,72.57,97,98,0.16,overcast clouds
142,Mitsamiouli,KM,-11.3847,43.2844,81.21,75,29,6.4,scattered clouds
143,Rae Bareli,IN,26.2167,81.2333,85.23,44,9,16.22,clear sky
144,Niesky,DE,51.2924,14.8211,67.48,50,46,7.52,scattered clouds
145,Bengkulu,ID,-3.8004,102.2655,77.59,87,99,3.33,moderate rain
146,Naze,JP,28.3667,129.4833,63.52,74,99,4.27,overcast clouds
147,Harper,LR,4.375,-7.7169,79.0,73,100,6.62,overcast clouds
148,Puro,PH,12.4841,123.3827,81.86,78,95,6.2,light rain
149,College,US,64.8569,-147.8028,54.07,53,40,6.91,scattered clouds
150,Ciudad Bolivar,VE,8.1222,-63.5497,86.31,54,94,9.89,overcast clouds
151,Vryburg,ZA,-26.9566,24.7284,58.1,55,40,5.12,scattered clouds
152,Camacha,PT,33.0833,-16.3333,67.42,64,40,11.5,scattered clouds
153,Plettenberg Bay,ZA,-34.0527,23.3716,59.18,64,86,1.21,overcast clouds
154,Hoi An,VN,15.8794,108.335,82.36,88,97,6.4,overcast clouds
155,Matamoros,MX,25.5333,-103.25,77.11,13,0,0.0,clear sky
156,Marzuq,YE,14.4,46.4667,85.44,11,100,3.94,overcast clouds
157,Upernavik,GL,72.7868,-56.1549,32.16,89,100,14.32,overcast clouds
158,Shimoda,JP,34.6667,138.95,66.18,90,38,5.12,scattered clouds
159,Killybegs,IE,54.6333,-8.45,56.91,71,53,18.41,broken clouds
160,Ternate,ID,0.8,127.4,81.59,76,100,3.27,overcast clouds
161,Lewiston,US,44.1003,-70.2148,77.52,83,79,3.44,broken clouds
162,Emba,KZ,48.8264,58.1442,50.95,85,100,22.1,light rain
163,Khatanga,RU,71.9667,102.5,32.32,91,100,5.37,overcast clouds
164,Haines Junction,CA,60.7522,-137.5108,39.15,65,100,1.14,overcast clouds
165,Severo-Yeniseyskiy,RU,60.3725,93.0408,43.48,84,0,1.79,clear sky
166,Abonnema,NG,4.7084,6.7931,82.87,72,93,6.93,light rain
167,Shanhetun,CN,44.7,127.2,56.1,52,9,6.26,clear sky
168,East London,ZA,-33.0153,27.9116,65.34,77,0,4.61,clear sky
169,Haapiti,PF,-17.5667,-149.8667,76.71,72,14,14.34,few clouds
170,Sinjai,ID,-5.1241,120.253,76.48,89,57,3.02,broken clouds
171,Pocatello,US,42.8713,-112.4455,51.19,52,0,11.01,clear sky
172,Mareeba,AU,-17.0,145.4333,68.72,88,29,1.97,scattered clouds
173,Florianopolis,BR,-27.6146,-48.5012,69.62,62,0,4.61,clear sky
174,Kahramanmaras,TR,38.0,37.0,65.86,41,3,3.22,clear sky
175,Phayakkhaphum Phisai,TH,15.5163,103.1937,79.41,81,87,7.65,overcast clouds
176,Gaya,IN,24.7833,85.0,78.71,69,20,6.91,haze
177,Pinheiro,BR,-2.5214,-45.0825,82.69,77,26,3.04,scattered clouds
178,Pemba,MZ,-12.974,40.5178,79.5,83,20,8.05,few clouds
179,Uribia,CO,11.7139,-72.266,89.04,50,2,27.78,clear sky
180,Abha,SA,18.2164,42.5053,79.05,28,20,11.5,few clouds
181,Darab,IR,28.7519,54.5444,87.1,6,0,11.05,clear sky
182,Quatre Cocos,MU,-20.2078,57.7625,75.31,72,19,16.31,light rain
183,Miyako,JP,39.6367,141.9525,52.05,91,26,4.83,scattered clouds
184,Lavrentiya,RU,65.5833,-171.0,37.2,69,100,8.25,overcast clouds
185,Floro,NO,61.5996,5.0328,59.07,82,75,17.27,light rain
186,Aswan,EG,24.0934,32.907,94.3,9,1,13.8,clear sky
187,Saskylakh,RU,71.9167,114.0833,34.02,100,100,3.0,overcast clouds
188,Mvuma,ZW,-19.2792,30.5283,60.8,39,26,5.41,scattered clouds
189,Marrakesh,MA,31.6315,-8.0083,89.67,35,0,4.61,clear sky
190,Kaitangata,NZ,-46.2817,169.8464,45.7,90,91,11.12,overcast clouds
191,Gbarnga,LR,6.9956,-9.4722,80.76,80,81,2.84,light rain
192,Abohar,IN,30.15,74.1833,97.03,9,5,9.42,clear sky
